pc_id,pos,neg,eig_val,exp_var
0,stabbed rookie playoff stabbing measles,guess specifically instance enrollment quote,0.11499555350755795,0.17054949561078145
1,comfortable spawned fractured speeding unwelcome,guess specifically okay quote supposedly,0.0838965316359992,0.12442664709703945
2,comfortable grass sympathy mirrors roster,potus questionnaire chairmen deposition twoday,0.07457356670012519,0.1105997910238104
3,enrollment 13yearold vindicates bestseller quotes,potus questionnaire obstructed protects comfortable,0.0711407659017642,0.10550861639283413
4,enrollment self 13yearold prayer declares,complications override indigenous plaintiffs conservation,0.06362302745475497,0.09435908529216477
5,self declares subway pushes praises,rookie oneyear alligator roster playoff,0.058147049341289274,0.08623768166619004
6,potus questionnaire obstructed protects guess,airbase taped decadesold self lifelong,0.05502937722578708,0.08161387326177422
7,potus complications extramarital bestseller insects,underscored exploration persecution rookie bypass,0.05422001085413677,0.08041350488022443
8,guess somewhere priest volcano 13yearold,measles rookie chart runway autism,0.05109774779381617,0.07578288766190863
9,rookie oneyear playoff alligator predictions,13yearold priest volcano kidnapping eruption,0.04754135697584543,0.0705084171132725
